timestamp,close,high,low,oi,open,volume
2025-10-01 09:15:00+05:30,171.15,188.8,170.0,3968475,186.8,186375
2025-10-01 09:20:00+05:30,177.1,177.1,168.0,4030800,171.15,146550
2025-10-01 09:25:00+05:30,180.0,180.05,174.25,4042125,177.1,88500
2025-10-01 09:30:00+05:30,181.0,182.8,176.8,4043025,180.0,94050
2025-10-01 09:35:00+05:30,183.2,184.2,179.5,4049250,181.0,93375
2025-10-01 09:40:00+05:30,190.65,192.75,181.2,4050000,183.2,90600
2025-10-01 09:45:00+05:30,193.8,194.7,187.3,4061700,190.65,81675
2025-10-01 09:50:00+05:30,187.45,194.0,180.7,4047675,193.8,70050
2025-10-01 09:55:00+05:30,185.5,189.45,184.1,4045050,187.45,51375
2025-10-01 10:00:00+05:30,170.8,188.15,167.5,4047750,185.5,198975
2025-10-01 10:05:00+05:30,172.9,176.7,162.7,4074000,170.2,172950
2025-10-01 10:10:00+05:30,174.2,175.65,170.0,4081950,172.9,45150
2025-10-01 10:15:00+05:30,174.3,176.5,171.0,4088400,174.2,43425
2025-10-01 10:20:00+05:30,170.55,175.25,167.1,4101825,174.3,54225
2025-10-01 10:25:00+05:30,175.05,175.55,169.25,4108500,170.55,59925
2025-10-01 10:30:00+05:30,186.25,188.3,174.95,4083825,174.95,132600
2025-10-01 10:35:00+05:30,179.05,186.7,178.15,4083225,186.25,54750
2025-10-01 10:40:00+05:30,173.9,182.2,173.75,4079775,179.05,39300
2025-10-01 10:45:00+05:30,171.8,173.9,168.3,4063050,173.9,167400
2025-10-01 10:50:00+05:30,172.55,173.75,169.6,4013775,171.75,116700
2025-10-01 10:55:00+05:30,176.75,177.15,172.55,3991050,172.55,24375
2025-10-01 11:00:00+05:30,178.7,181.15,175.0,3991875,176.75,40200
2025-10-01 11:05:00+05:30,183.4,183.4,176.0,3988800,178.7,30450
2025-10-01 11:10:00+05:30,188.5,188.5,181.5,3988800,183.4,47175
2025-10-01 11:15:00+05:30,197.0,202.0,188.5,4020525,188.5,249525
2025-10-01 11:20:00+05:30,195.9,202.85,194.6,4017675,197.0,82500
2025-10-01 11:25:00+05:30,201.05,202.0,195.75,4025175,195.9,68775
2025-10-01 11:30:00+05:30,211.5,212.45,200.95,4029525,201.05,213900
2025-10-01 11:35:00+05:30,211.25,214.9,207.45,4051275,211.5,119625
2025-10-01 11:40:00+05:30,226.15,227.0,210.0,4049025,211.25,125100
2025-10-01 11:45:00+05:30,230.0,231.75,225.75,4041150,226.15,159450
2025-10-01 11:50:00+05:30,228.55,231.7,225.0,4028625,230.0,89175
2025-10-01 11:55:00+05:30,243.5,244.9,226.0,4011900,228.55,139350
2025-10-01 12:00:00+05:30,246.95,248.0,236.0,3961050,242.0,207975
2025-10-01 12:05:00+05:30,240.25,249.3,239.5,3949500,246.9,116775
2025-10-01 12:10:00+05:30,242.7,248.5,239.25,3960600,240.25,152400
2025-10-01 12:15:00+05:30,236.35,245.95,236.3,3902625,242.7,149400
2025-10-01 12:20:00+05:30,230.55,237.75,228.75,3888150,236.35,96450
2025-10-01 12:25:00+05:30,230.5,231.6,223.75,3901650,230.55,72375
2025-10-01 12:30:00+05:30,223.85,230.75,222.3,3901125,230.5,40425
2025-10-01 12:35:00+05:30,229.05,230.25,221.25,3908625,223.85,47550
2025-10-01 12:40:00+05:30,219.55,231.3,219.55,3911475,229.05,42000
2025-10-01 12:45:00+05:30,223.55,225.3,215.4,3926400,219.55,55500
2025-10-01 12:50:00+05:30,223.0,223.85,219.65,3922725,223.55,31200
2025-10-01 12:55:00+05:30,214.25,223.7,213.15,3919800,223.0,51300
2025-10-01 13:00:00+05:30,212.8,218.3,211.9,3943125,214.5,63375
2025-10-01 13:05:00+05:30,218.3,218.6,212.45,3958950,212.75,42450
2025-10-01 13:10:00+05:30,222.0,223.0,214.0,3985650,218.3,43350
2025-10-01 13:15:00+05:30,221.75,223.35,216.2,4001925,222.0,55425
2025-10-01 13:20:00+05:30,224.25,226.55,220.0,4003500,221.75,50175
2025-10-01 13:25:00+05:30,232.9,235.0,224.25,4017525,224.25,75675
2025-10-01 13:30:00+05:30,230.0,234.0,228.0,4012350,232.9,83625
2025-10-01 13:35:00+05:30,231.95,234.4,228.5,4014900,230.0,44100
2025-10-01 13:40:00+05:30,231.5,237.25,230.75,4015800,231.95,43500
2025-10-01 13:45:00+05:30,224.95,232.25,224.15,4010925,231.5,43500
2025-10-01 13:50:00+05:30,230.0,230.0,222.0,4014825,224.9,23850
2025-10-01 13:55:00+05:30,228.4,230.4,224.85,4023900,229.75,23850
2025-10-01 14:00:00+05:30,230.15,232.0,226.7,4030575,228.4,30150
2025-10-01 14:05:00+05:30,240.0,240.0,229.7,4023975,230.15,63375
2025-10-01 14:10:00+05:30,235.0,241.85,233.5,4024650,239.75,41550
